,duration,energy,power,min_pitch,max_pitch,mean_pitch,pitch_sd,pitch_abs,pitch_quant,pitchUvsVRatio,Time:8,iDifference,diffPitchMaxMin,diffPitchMaxMean,diffPitchMaxMode,intensityMin,intensityMax,intensityMean,intensitySD,intensityQuant,diffIntMaxMin,diffIntMaxMean,diffIntMaxMode,avgVal1,avgVal2,avgVal3,avgBand1,avgBand2,avgBand3,fmean1,fmean2,fmean3,f2meanf1,f3meanf1,f1STD,f2STD,f3STD,f2STDf1,f2STDf2,jitter,shimmer,jitterRap,meanPeriod,percentUnvoiced,numVoiceBreaks,PercentBreaks,speakRate,numPause,maxDurPause,avgDurPause,TotDurPause:3,iInterval,MaxRising:3,MaxFalling:3,AvgTotRis:3,AvgTotFall:3,numRising,numFall,loudness,Worker,Overall,RecommendHiring,Colleague,Engaged,Excited,SpeakingRate,NoFillers,Friendly,Paused,EngagingTone,StructuredAnswers,Calm,NotStressed,Focused,Authentic,NotAwkward,Total
p1,34.186795833333335,0.011509758277935909,0.0003327213246468419,78.0642942558348,340.5164536423034,129.30763883500367,25.242104125741548,176.1763830701561,121.94302567699636,0.9519038102608969,34.160272918,49.30586623377057,262.4521593864687,211.20881480729972,218.57342796530702,36.418034415003014,72.71934585251303,59.15763921151256,8.449370242798187,53.73458035403413,36.30131143751001,13.561706641000455,18.98476549847888,654.8917530657977,1823.9910163260247,0.0,418.1634385813515,474.386856457661,0.0,654.891753065798,1823.9910163260258,2752.0478502174965,2.7912077861749043,4.210417669306731,304.5650817165968,397.7968767269523,393.30887108566066,1.3103354156265865,1.3000459513310516,0.023354,0.176002,0.012587999999999998,0.007757054000000001,0.422898,86.4,0.43293799999999993,0.0007474804032582074,35.0,2.3125333333333336,0.5312,17.998399999999997,87.8,211.46660000000003,186.24740000000003,20.4186,13.812000000000001,59.2,2885.361923995485,,0.0,5.0,5.0,1.2,1.2,1.0,0.8,0.4,1.2,1.2,1.0,1.0,1.2,1.2,1.2,1.0,1.2,93.0
p3,89.16504166666667,0.030218296058316864,0.00033183933446648777,70.53618530853058,400.4080604435452,128.74744235004144,64.52899574947881,298.94775611641654,97.57020787854366,2.179182291453251,89.138770834,43.504058276204866,329.8718751350147,271.66061809350384,302.8378525650017,34.55527729961528,75.39559627880794,59.15528963654324,8.351788394369112,53.411739513768396,40.84031897919265,16.240306642264688,21.983856765039544,692.5014544916895,1862.2141576556562,0.0,491.1157329567379,639.3091073897916,0.0,692.5014544916896,1862.214157655655,2957.600726742893,2.697340422292449,4.285150871877157,351.3556241690386,464.21473070518493,426.5323623570265,1.3237146948083818,1.2165244863231632,0.038122,0.20137799999999997,0.0201,0.0078903986,0.5646340000000001,243.6,0.6767380000000001,0.0003840728387699937,78.0,4.339200000000001,0.7577999999999999,58.6416,258.4,303.033,292.7502,38.626400000000004,36.26219999999999,135.8,12286.259427006142,,0.0,5.0,5.0,1.2,1.2,1.2,0.8,0.6,1.4,0.8,1.2,1.2,1.0,1.2,1.2,1.2,1.0,97.0
p4,47.795525,0.006202110241968572,0.00012222729538421671,74.84717964775685,359.1970917679099,137.31214901260736,43.98529624376249,272.75135881962024,121.71884066186549,1.3306676116647265,47.7683875,61.47555575367561,284.34991212015314,221.88494275530257,237.47825110604444,35.48740311935306,68.4324909860882,54.553074760836395,7.370693788200083,49.95342916960909,32.94508786673515,13.879416225251807,18.479061816479117,685.272335594416,1826.7931977869084,0.0,451.57762821517855,614.055633307162,0.0,685.2723355944161,1826.7931977869084,2893.7039083229456,2.6665827205890915,4.225460202571496,323.63592592240775,418.04923036689325,389.7762594861977,1.293947945300852,1.2072896800228672,0.024984000000000003,0.183872,0.013002,0.0073503312,0.48326,141.8,0.5355360000000001,0.0006745563292352355,44.8,2.8437333333333332,0.5394,24.2666,147.2,236.9652,237.773,31.915399999999998,25.893600000000003,91.6,5577.51279828157,,0.0,5.0,5.0,1.0,1.2,0.8,0.6,0.4,1.2,1.2,0.8,1.0,1.0,1.2,1.0,1.2,0.8,87.0
p5,30.842616666666668,0.0023517022038771146,7.063682778594967e-05,79.26612910601504,311.06087639167924,122.56090286130424,28.55034265153994,162.89907614973387,114.62742534118266,1.326375178026658,30.815683334,27.88531834589197,231.79474728566424,188.499973530375,196.43345105049661,36.11145610970418,65.6551702552202,52.17472586025034,6.146443085234936,48.66989274526681,29.543714145516013,13.48044439496986,16.985277509953377,735.7730398925988,1915.4226602649949,0.0,484.7928676693449,750.9732839297728,0.0,735.7730398925996,1915.4226602649956,2944.5352177295417,2.603860852970702,4.003612175538005,368.0583616230853,477.4233953186652,398.701766809065,1.2989578247429876,1.0838587333516152,0.024944,0.19115,0.013573999999999998,0.0082009698,0.501746,74.6,0.511162,0.0008181588477391827,25.8,1.6170666666666673,0.5976,15.2246,77.0,175.7884,178.975,19.7052,16.494400000000002,49.0,2814.6179776502304,,0.0,5.0,6.0,1.2,1.2,0.8,0.8,1.2,1.2,1.2,0.8,1.0,1.0,1.2,1.2,1.2,1.2,98.0
p6,81.7450125,0.0032049118993493415,4.032219599059008e-05,73.46174338803309,355.2141304611386,107.848640086449,23.362177050604537,124.56106597524635,101.22289478584267,1.1594233982817834,81.71875625,40.33366321331933,281.7523870731055,247.3654903746896,253.99123567529597,35.97193774400161,64.82521109965944,50.00903763382126,5.156638400658622,46.92811406853439,28.853273355657837,14.816173465838176,17.89709703112505,700.8641916869991,1896.1317648606782,0.0,495.9592964393861,756.3596375602299,0.0,700.8641916869971,1896.1317648606764,2958.1359765191155,2.7055036367664185,4.220902394190578,331.81750378230697,434.6427624489047,371.6176666290676,1.3101505372458655,1.1202407430413035,0.019088,0.190996,0.009942,0.00928498,0.47875199999999996,219.2,0.534872,0.00030893323683843076,81.8,1.9311312499999989,0.5262,43.0432,219.6,251.81459999999998,248.03540000000004,14.63,12.198400000000001,137.0,8272.626108841298,,0.0,5.0,6.0,1.2,1.2,0.8,0.8,0.6,1.0,1.0,1.0,1.2,1.4,1.2,1.2,1.2,1.2,97.0
p7,47.96807916666666,0.005613464806704238,0.00010298676632429912,77.53506836751771,313.8030382311755,119.67756825225051,32.98616337379964,168.09081077171072,109.5042593613146,1.3852777275594224,47.941539584,40.77494884957506,236.2679698636578,194.12546997892497,204.29877886986083,35.53541911083211,68.13175663365999,53.83888402424426,6.867026968278793,50.55213145182269,32.5963375228279,14.292872609415744,17.579625181837308,732.6224879247949,1883.7098120523588,0.0,469.89654927418303,608.7760958680999,0.0,732.6224879247949,1883.709812052357,2876.440875438348,2.5727035487304795,3.9302220287195033,340.863090283939,440.5555411700251,408.91033002111305,1.2930132689170402,1.2004177978130846,0.020303999999999996,0.18108,0.010817999999999998,0.008407301,0.496444,131.2,0.5151199999999999,0.0007872836065946845,41.0,1.9456000000000002,0.516,21.2582,135.6,200.24060000000003,194.62779999999998,19.8244,15.6704,86.8,4897.231957358624,,0.0,6.0,5.0,1.0,1.2,0.8,0.8,1.4,1.0,1.2,1.0,1.0,1.2,1.2,1.2,1.2,1.2,99.0
p8,58.34000833333333,0.017769804614025633,0.0002878118748570409,72.9415467108146,358.4614347303163,125.89177981500374,50.9208895538748,288.2827903612198,107.13825227591958,1.3777797861525776,58.313754166,46.94816748577728,285.5198880195017,232.5696549153125,251.32318245439666,35.68228785432107,73.62435800656326,58.51304720689943,8.990251531917206,53.50794309473444,37.94207015224218,15.11131079966383,20.116414911828816,664.5815764892334,1811.9748167095047,0.0,420.51941665481655,701.9840377219323,0.0,664.5815764892325,1811.9748167095047,2902.60004466085,2.7266410102048355,4.3684097280830985,360.30141652076,486.45876894523315,392.9871580121504,1.3520798683402666,1.0919155270889458,0.027034000000000002,0.185286,0.013958000000000002,0.0080573722,0.496806,151.0,0.5592640000000001,0.000475477063155657,49.8,2.0032000000000014,0.6456,32.0444,162.0,243.56959999999998,215.9174,36.777,32.7928,91.6,7061.790535270132,,0.0,5.0,5.0,1.0,1.2,0.8,0.6,0.2,1.0,1.2,0.8,0.8,1.2,1.2,1.2,1.0,1.2,88.0
p10,77.3786125,0.032118070841741675,0.00040380355788369155,74.78777188547413,345.93534705346167,112.955695522739,25.915805600889776,166.26580377779337,106.68148256055497,0.8252422685554521,77.35180625000001,19.723066308546485,271.14757516798755,232.97965153072263,239.25386449290667,35.446031379258486,72.98379723024206,59.93111149612393,9.678953175086223,53.240646145080724,37.53776585098358,13.05268573411812,19.743151085161344,678.7125655226885,1845.3708433757638,0.0,463.8295562587229,607.8954103594639,0.0,678.7125655226885,1845.3708433757656,2843.709756425165,2.724187791328618,4.2008248380923945,371.30998985494455,452.8145423393701,420.96853750531255,1.2215820149250551,1.1347188202485308,0.017720000000000003,0.161994,0.009056,0.0088940876,0.406538,149.4,0.411714,0.00029374409335140665,58.0,2.5024,0.7232,39.8548,159.8,231.79719999999998,222.045,23.4998,17.217599999999997,114.4,4560.598782002586,,0.0,5.0,5.0,1.0,1.0,0.8,0.8,0.4,1.0,1.0,1.0,0.8,1.0,1.2,1.0,1.0,0.8,85.0
p11,50.43133333333334,0.007220402863338434,0.00013391433139550384,73.60558674659119,384.00452415846496,186.5244016977725,35.91164812112192,226.35357924562612,183.7920113942509,0.6286105110280549,50.405666667999995,83.85467949649455,310.3989374118738,197.48012246069243,200.21251276421407,34.93970798976081,68.13124839164718,55.14272373421723,7.188653823371254,51.75748354678542,33.19154040188637,12.988524657429952,16.373764844861775,659.6056179012361,1837.2630323839999,0.0,391.7697730376087,537.2897422920622,0.0,659.6056179012363,1837.2630323839992,2867.694380163159,2.7858673230801925,4.348037239395291,281.8184366608859,394.6739324935494,380.67438633644736,1.400547058590298,1.3520271220559676,0.017442,0.16082400000000002,0.009364,0.005355162199999999,0.333298,120.8,0.36711600000000005,0.0003597044785021258,47.4,2.998189583333334,0.5326,25.752999999999997,127.8,176.2874,203.07139999999998,24.309800000000003,15.5036,84.4,4359.2235729705335,,0.0,6.0,6.0,1.2,1.2,1.0,0.8,0.4,0.8,1.2,1.0,1.2,1.0,1.2,1.2,1.2,1.0,93.0
p12,35.91044166666667,0.008005216016209063,0.0002049955697162095,73.70641425597859,326.34639873522315,181.0066927315558,40.49445758413659,266.1102112890755,184.08150094119136,0.8043795260303517,35.884595831999995,63.350111611032744,252.6399844792446,145.33970600366743,142.2648977940318,33.17267843038159,72.56256395359358,56.99071696773061,7.800502317974187,51.46203482554449,39.389885523212,15.571846985862967,21.100529128049097,657.286596814755,1752.0444631995044,0.0,464.18314451044387,573.3844162788162,0.0,657.2865968147552,1752.0444631995047,2818.217075343772,2.6666300767771056,4.288330084364353,349.31279128350445,423.4357783833672,448.213032866352,1.21785199438293,1.2857561841794225,0.018571999999999998,0.153002,0.009677999999999999,0.00551237,0.385336,92.2,0.39749799999999996,0.0005732578785536216,24.0,4.592918749999998,0.9796000000000001,24.3694,94.8,152.8112,148.5378,25.607,27.037200000000002,53.4,4160.100665032833,,0.0,5.0,5.0,1.0,1.0,1.2,0.8,1.0,1.2,1.2,1.2,0.8,1.0,1.2,1.2,1.2,1.0,98.0
